Ticker,Sector,Type
AAPL,Technology,Stock
MSFT,Technology,Stock
ORCL,Technology,Stock
CRM,Technology,Stock
INTU,Technology,Stock
ADBE,Technology,Stock
AVGO,Technology,Stock
TXN,Technology,Stock
AMD,Technology,Stock
MU,Technology,Stock
AMZN,Consumer_Discretionary,Stock
TSLA,Consumer_Discretionary,Stock
HD,Consumer_Discretionary,Stock
MCD,Consumer_Discretionary,Stock
NKE,Consumer_Discretionary,Stock
SBUX,Consumer_Discretionary,Stock
TGT,Consumer_Discretionary,Stock
LOW,Consumer_Discretionary,Stock
BKNG,Consumer_Discretionary,Stock
RCL,Consumer_Discretionary,Stock
GOOGL,Communication_Services,Stock
META,Communication_Services,Stock
NFLX,Communication_Services,Stock
T,Communication_Services,Stock
VZ,Communication_Services,Stock
DIS,Communication_Services,Stock
TMUS,Communication_Services,Stock
CHTR,Communication_Services,Stock
WBD,Communication_Services,Stock
PARA,Communication_Services,Stock
JNJ,Healthcare,Stock
PFE,Healthcare,Stock
MRK,Healthcare,Stock
ABT,Healthcare,Stock
LLY,Healthcare,Stock
UNH,Healthcare,Stock
TMO,Healthcare,Stock
BMY,Healthcare,Stock
AMGN,Healthcare,Stock
CVS,Healthcare,Stock
JPM,Financials,Stock
BAC,Financials,Stock
WFC,Financials,Stock
GS,Financials,Stock
MS,Financials,Stock
AXP,Financials,Stock
C,Financials,Stock
BLK,Financials,Stock
TFC,Financials,Stock
SCHW,Financials,Stock
HON,Industrials,Stock
UPS,Industrials,Stock
CAT,Industrials,Stock
BA,Industrials,Stock
GE,Industrials,Stock
MMM,Industrials,Stock
LMT,Industrials,Stock
DE,Industrials,Stock
RTX,Industrials,Stock
CSX,Industrials,Stock
XOM,Energy,Stock
CVX,Energy,Stock
COP,Energy,Stock
SLB,Energy,Stock
PSX,Energy,Stock
EOG,Energy,Stock
MPC,Energy,Stock
VLO,Energy,Stock
BKR,Energy,Stock
OXY,Energy,Stock
^GSPC,S&P_500,Index
^IXIC,NASDAQ_Composite,Index
^DJI,Dow_Jones,Index
